  |-----TILL------|       1       2       3       4       5       6       7       8       9      10      11      12      13      14      15      16      17      18      19      20      21      22      23      24      25      26      27      28      29
    #  NAME     PCD    PRIC    PLST     HRY     HRL     PWR     WDT     SPD     RC1     RC2     XLB     FCM     VR1     VR2     EFM     RTI     EMX     RR      TLD     RHT     RIN     DKH     DKI     IHC      HE    ORHI    FRCP    FPOP    CFEM    STIR      EQP
  143 PLRDT6RW NON    19556   21512     115    1200       0     6.0    4.99   0.320   2.100   0.100   0.000   0.600   0.885   0.700   0.000   0.050  10.000    40.0  75.000   1.000   0.000   0.000     5.0   0.000   0.000   0.000   0.000   0.000  10.000 PLANTER                    
  144 AERLSEED NON    13557   14913      30    1200       0     6.1    4.83   0.320   2.100   0.100   0.000   0.600   0.885   0.800   0.000   0.000   0.000    40.0  25.000   0.170   0.000   0.000     6.0   0.000   0.000   0.000   0.000   0.000  10.000 AERIAL                     
  146 BRDCSEED NON     8047    8852      60    1200       0     6.1    7.88   0.320   2.100   0.100   0.000   0.600   0.885   0.750   0.000   0.000   0.000    60.0  10.000   0.860   0.000   0.000     6.0   0.000   0.000   0.000   0.000   0.000  10.000 BROADCA                    
  157 ROWCGE15 NON     7272    7999     100    2000       0     6.1    5.63   0.170   2.200   0.100   0.000   0.600   0.885   0.800   0.000   0.250  15.000    25.0 100.000   1.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 ROW CUL                    
  160 FLDCLT36 NON    16405   18045     150    2500       0    11.0    8.05   0.270   1.400   0.100   0.000   0.600   0.885   0.750   0.000   0.300  20.000   100.0  25.000   0.300   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 FIELD C                    
  162 HRW10BAR NON     5757    6332     150    2500       0    11.0    6.44   0.270   1.400   0.100   0.000   0.600   0.885   0.750   0.000   0.200  13.000    25.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 HARROW                     
  165 CULPKPUL NON     5904    6494     100    2000       0     4.3    9.65   0.160   1.700   0.100   0.000   0.600   0.885   0.850   0.000   0.350   5.000    40.0  25.000   1.780   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 CULTI-P                    
  166 LANDLEVL NON     7096    7806      50    2500       0     2.1    7.24   0.180   1.700   0.100   0.000   0.600   0.885   0.800   0.000   0.500  18.000    75.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 LAND PL                    
  172 LISTRMID NON     7824    8606     100    2500       0     4.3    7.24   0.290   1.800   0.100   0.000   0.600   0.885   0.800   0.000   0.800  25.000    40.0  75.000   1.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 LISTER                     
  177 SANDFIGT NON      848     932      50    2000       0     4.3   11.26   0.230   1.400   0.100   0.000   0.600   0.885   0.800   0.000   0.200  10.000   100.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 SAND-FI                    
  178 SEEDROLL NON     7062    7768     100    2000       0     4.3    7.24   0.160   1.300   0.100   0.000   0.600   0.885   0.800   0.000   0.000   0.000   100.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 SEEDBED                    
  185 FLEXGE20 NON     3190    3509      40    2500       0     6.4    8.05   0.270   1.400   0.100   0.000   0.600   0.885   0.850   0.000   0.200  13.000    25.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 FLEX-TI                    
  188 SPIKGT25 NON     2317    2548      40    2000       0     7.9    8.05   0.270   1.400   0.100   0.000   0.600   0.885   0.850   0.000   0.250  13.000    25.0   0.000   0.000   0.000   0.000     0.0   0.000   0.000   0.000   0.000   0.000  10.000 SPIKE T                    
