  123	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ021849.WND   33.05  -109.28     AZ           CLIFTON AZ         
  124	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ021920.WND   37.00  -112.98     AZ           COLORADO CITY AZ   
  125	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ022109.WND   34.30  -112.17     AZ           CORDES AZ          
  126	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ022140.WND   31.35  -110.25     AZ           CORONADO NATL MONUM
  127	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ022664.WND   31.45  -109.60     AZ           DOUGLAS B D AP AZ  
  128	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ022754.WND   32.73  -109.10     AZ           DUNCAN AZ          
  129	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ022807.WND   32.75  -111.55     AZ           ELOY AZ            
  130	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ023010.WND   35.13  -111.67     AZ           FLAGSTAFF WB AP AZ 
  131	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ023027.WND   33.03  -111.38     AZ           FLORENCE AZ        
  132	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ023160.WND   35.27  -111.73     AZ           FORT VALLEY AZ     
  133	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ023303.WND   35.72  -109.55     AZ           GANADO AZ          
  134	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ023393.WND   32.95  -112.72     AZ           GILA BEND AZ       
  135	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ023961.WND   34.38  -110.58     AZ           HEBER AZ           
  136	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ024089.WND   34.90  -110.17     AZ           HOLBROOK AZ        
  137	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ024418.WND   36.72  -112.22     AZ           JACOB LAKE AZ      
  138	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ024453.WND   34.75  -112.12     AZ           JEROME AZ          
  139	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ024586.WND   35.82  -110.20     AZ           KEAMS CANYON AZ    
  140	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ024675.WND   31.97  -111.60     AZ           KITT PEAK AZ       
  141	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ024686.WND   35.55  -109.70     AZ           KLAGETOH 12 WNW AZ 
  142	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ024702.WND   33.27  -113.87     AZ           KOFA MOUNTAINS AZ  
  143	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ024829.WND   33.33  -112.15     AZ           LAVEEN AZ          
  144	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ024849.WND   36.87  -111.58     AZ           LEES FERRY AZ      
  145	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ024977.WND   33.50  -112.37     AZ           LITCHFIELD PARK AZ 
  146	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ025129.WND   36.42  -109.23     AZ           LUKACHUKAI AZ      
  147	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ025412.WND   34.07  -109.85     AZ           MC NARY AZ         
  148	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ025512.WND   33.40  -110.88     AZ           MIAMI AZ           
  149	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ025635.WND   34.62  -111.83     AZ           MONTEZUMA CASTLE NM
  150	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ025700.WND   33.55  -111.45     AZ           MORMON FLAT AZ     
  151	C:\APEXMP\REQUIRED\db03_wndus_weppcligen\AZ025924.WND   31.35  -110.93     AZ           NOGALES 2 N AZ     
